c 1 1
129.0: -46,145.0: -46,36.0: -52,
129.0: -43,145.0: -45,36.0: -41,
129.0: -42,145.0: -43,36.0: -42,
c 3 2
129.0: -33,145.0: -38,36.0: -36,
129.0: -35,145.0: -42,36.0: -36,
129.0: -34,145.0: -42,36.0: -36,
129.0: -35,145.0: -40,36.0: -36,
129.0: -34,145.0: -38,36.0: -35,
129.0: -39,145.0: -39,36.0: -34,
129.0: -34,145.0: -37,36.0: -38,
129.0: -38,145.0: -42,36.0: -34,
129.0: -39,145.0: -42,36.0: -35,
129.0: -37,145.0: -42,36.0: -34,
129.0: -36,145.0: -47,36.0: -39,
c 3 3
129.0: -30,145.0: -42,36.0: -51,
129.0: -33,145.0: -40,36.0: -45,
129.0: -36,145.0: -39,36.0: -42,
129.0: -35,145.0: -39,36.0: -43,
129.0: -36,145.0: -36,36.0: -43,
129.0: -36,145.0: -36,36.0: -46,
129.0: -36,145.0: -35,36.0: -44,
129.0: -36,145.0: -36,36.0: -45,
129.0: -36,145.0: -36,36.0: -43,
129.0: -36,145.0: -36,36.0: -42,
129.0: -38,145.0: -36,36.0: -44,
129.0: -40,145.0: -42,36.0: -46,
c 4 1
145.0: -41,129.0: -37,36.0: -40,
129.0: -34,145.0: -45,36.0: -40,
129.0: -35,145.0: -47,36.0: -37,
129.0: -36,145.0: -47,36.0: -39,
129.0: -37,145.0: -45,36.0: -40,
129.0: -35,145.0: -40,36.0: -43,
129.0: -34,145.0: -42,36.0: -51,
129.0: -36,145.0: -40,36.0: -40,
129.0: -41,145.0: -47,36.0: -40,
129.0: -40,145.0: -44,36.0: -38,
129.0: -34,145.0: -40,36.0: -55,
129.0: -36,145.0: -50,36.0: -42,
129.0: -36,145.0: -49,36.0: -39,
129.0: -38,145.0: -45,36.0: -40,
c 4 2
129.0: -39,145.0: -39,36.0: -52,
129.0: -42,145.0: -52,36.0: -48,
129.0: -55,145.0: -47,36.0: -43,
129.0: -43,145.0: -46,36.0: -42,
129.0: -31,145.0: -41,36.0: -46,
129.0: -46,145.0: -45,36.0: -46,
129.0: -44,145.0: -43,36.0: -52,
129.0: -44,145.0: -40,36.0: -49,
129.0: -41,145.0: -43,36.0: -41,
129.0: -42,145.0: -42,36.0: -42,
129.0: -42,145.0: -42,36.0: -41,
129.0: -44,145.0: -42,36.0: -40,
129.0: -40,145.0: -43,36.0: -43,
129.0: -39,145.0: -44,36.0: -42,
129.0: -41,145.0: -42,36.0: -42,
129.0: -46,145.0: -40,36.0: -53,
129.0: -46,145.0: -39,36.0: -52,
c 4 3
129.0: -38,145.0: -40,36.0: -48,
129.0: -55,145.0: -44,36.0: -47,
129.0: -46,145.0: -42,36.0: -47,
129.0: -92,145.0: -44,36.0: -42,
129.0: -92,145.0: -43,36.0: -44,
129.0: -91,145.0: -45,36.0: -44,
129.0: -51,145.0: -38,36.0: -42,
129.0: -53,145.0: -42,36.0: -40,
129.0: -50,145.0: -44,36.0: -42,
129.0: -46,145.0: -40,36.0: -47,
129.0: -56,145.0: -41,36.0: -46,
129.0: -42,145.0: -38,36.0: -49,
129.0: -45,145.0: -48,36.0: -40,
129.0: -41,145.0: -40,36.0: -53,
129.0: -41,145.0: -40,36.0: -48,
c 5 1
129.0: -44,145.0: -46,36.0: -40,
129.0: -46,145.0: -42,36.0: -44,
129.0: -46,145.0: -48,36.0: -42,
129.0: -48,145.0: -47,36.0: -41,
129.0: -44,145.0: -47,36.0: -44,
129.0: -48,145.0: -47,36.0: -46,
129.0: -52,145.0: -52,36.0: -45,
129.0: -42,145.0: -51,36.0: -42,
129.0: -54,145.0: -44,36.0: -43,
129.0: -46,145.0: -42,36.0: -43,
129.0: -48,145.0: -41,36.0: -50,
129.0: -48,145.0: -40,36.0: -51,
129.0: -44,145.0: -41,36.0: -47,
129.0: -46,145.0: -42,36.0: -42,
129.0: -44,145.0: -44,36.0: -42,
c 5 2
129.0: -39,145.0: -39,36.0: -37,
129.0: -43,145.0: -47,36.0: -42,
129.0: -39,145.0: -43,36.0: -49,
129.0: -49,145.0: -47,36.0: -40,
129.0: -40,145.0: -52,36.0: -49,
129.0: -48,145.0: -51,36.0: -43,
129.0: -38,145.0: -51,36.0: -42,
129.0: -42,145.0: -41,36.0: -46,
129.0: -40,145.0: -47,36.0: -40,
129.0: -42,145.0: -48,36.0: -36,
129.0: -44,145.0: -48,36.0: -36,
129.0: -47,145.0: -45,36.0: -40,
129.0: -46,145.0: -46,36.0: -39,
129.0: -45,145.0: -48,36.0: -36,
c 5 3
129.0: -45,145.0: -42,36.0: -52,
129.0: -42,145.0: -41,36.0: -40,
129.0: -38,145.0: -42,36.0: -38,
129.0: -39,145.0: -45,36.0: -43,
129.0: -37,145.0: -46,36.0: -42,
129.0: -44,145.0: -43,36.0: -36,
129.0: -44,145.0: -48,36.0: -48,
129.0: -47,145.0: -48,36.0: -50,
129.0: -45,145.0: -52,36.0: -48,
129.0: -46,145.0: -52,36.0: -48,
129.0: -52,145.0: -46,36.0: -52,
129.0: -49,145.0: -52,36.0: -48,
129.0: -43,145.0: -45,36.0: -45,
c 6 1
129.0: -39,145.0: -36,36.0: -40,
129.0: -42,145.0: -37,36.0: -34,
129.0: -45,145.0: -36,36.0: -40,
129.0: -45,145.0: -36,36.0: -41,
129.0: -46,145.0: -36,36.0: -38,
129.0: -40,145.0: -40,36.0: -39,
129.0: -40,145.0: -39,36.0: -41,
129.0: -38,145.0: -40,36.0: -37,
129.0: -39,145.0: -40,36.0: -37,
129.0: -39,145.0: -45,36.0: -38,
129.0: -39,145.0: -44,36.0: -36,
129.0: -47,145.0: -45,36.0: -42,
129.0: -38,145.0: -40,36.0: -43,
129.0: -50,145.0: -42,36.0: -42,
c 6 2
129.0: -40,145.0: -46,36.0: -40,
129.0: -35,145.0: -40,36.0: -43,
129.0: -35,129.0: -33,36.0: -52,
129.0: -35,145.0: -35,36.0: -52,
129.0: -35,145.0: -35,36.0: -51,
129.0: -36,145.0: -35,36.0: -53,
129.0: -38,145.0: -38,36.0: -41,
129.0: -38,145.0: -43,36.0: -45,
129.0: -36,145.0: -37,36.0: -42,
129.0: -35,145.0: -35,36.0: -42,
129.0: -35,145.0: -41,36.0: -47,
129.0: -38,145.0: -40,36.0: -46,
